nomor_peraturan,judul,tahun,no,definisi,heading,keywords
197/PMK.03/2013,Perubahan atas Peraturan Menteri Keuangan Nomor 68 PMK 03 2010 tentang Batasan Pengusaha Kecil Pajak Pertambahan Nilai,2013,197,"['Pengusaha kecil', '00 empat miliar delapan ratus juta rupiah 2 Jumlah peredaran bruto dan atau penerimaan bruto sebagaimana dimaksud pada ayat 1']",[],"['Pengusaha kecil', '00 empat miliar delapan ratus juta rupiah 2 Jumlah peredaran bruto dan atau penerimaan bruto sebagaimana dimaksud pada ayat 1']"
186/PMK.07/2010,Tahapan Persiapan Pengalihan Bea Perolehan Hak atas Tanah dan Bangunan Sebagai Pajak Daerah,2010,186,['Tarif Layanan Badan Layanan Umum Universitas Islam Negeri MaulanaMalik Ibrahim Malang pada Kementerian Agama'],[],['Tarif Layanan Badan Layanan Umum Universitas Islam Negeri MaulanaMalik Ibrahim Malang pada Kementerian Agama']
171/PMK.04/2019,Pembebasan Bea Masuk atas Impor Barang oleh Pemerintah Pusat atau Pemerintah Daerah yang Ditujukan untuk Kepentingan Umum,2019,171,"['Kepentingan Umum', 'Pemerintah Pusat', 'Pemerintah Daerah', 'Hibah', 'Pihak Ketiga', 'Menteri', 'Kawasan yang Ditetapkan Sebagai Kawasan Perdagangan Bebas dan Pelabuhan Bebas', 'Portal Direktorat Jenderal Bea dan Cukai']",[],"['Kepentingan Umum', 'Pemerintah Pusat', 'Pemerintah Daerah', 'Hibah', 'Pihak Ketiga', 'Menteri', 'Kawasan yang Ditetapkan Sebagai Kawasan Perdagangan Bebas dan Pelabuhan Bebas', 'Portal Direktorat Jenderal Bea dan Cukai']"
145/PMK.07/2009,Alokasi Kurang Bayar Dana Bagi Hasil Pajak Tahun Anggaran 2006 2007 dan 2008 yang Dialokasikan dalam Undang Undang Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2009 dan Perubahannya,2009,145,"['Kurang Bayar Dana Bagi Hasil Pajak Tahun Anggaran 2006 dan 2007 sebagaimana dimaksud pada ayat 1', '00 sembilan ratus tujuh belas juta dua ratus sembilan puluh sembilan ribu dua ratus empat puluh tiga rupiah 4 Kurang Bayar Dana Bagi Hasil Pajak Tahun Anggaran 2008 sebagaimana dimaksud pada ayat 2']",[],"['Kurang Bayar Dana Bagi Hasil Pajak Tahun Anggaran 2006 dan 2007 sebagaimana dimaksud pada ayat 1', '00 sembilan ratus tujuh belas juta dua ratus sembilan puluh sembilan ribu dua ratus empat puluh tiga rupiah 4 Kurang Bayar Dana Bagi Hasil Pajak Tahun Anggaran 2008 sebagaimana dimaksud pada ayat 2']"
PP 56 TAHUN 1996,Senjata Api Dinas Direktorat Jenderal Bea dan Cukai,1996,56,"['Senjata Api dan Amunisi', 'Senjata Api Standar ABRI', 'Senjata Api Non Standar ABRI', 'Peralatan Keamanan', 'Senjata Api Dinas', 'Menteri', 'Direktorat Jenderal', 'Direktur Jenderal', 'Undang undang', 'Pejabat Bea dan Cukai', 'Kapal Patroli']","['KETENTUAN UMUM', 'PERENCANAAN PENGADAAN PEMILIKAN DAN PENGUASAAN', 'PENYIMPANAN PENGANGKUTAN DAN PENGADMINISTRASIAN', 'PENGGUNAAN', 'PEMELIHARAAN DAN PENGHAPUSAN', 'PENGAWASAN', 'KETENTUAN PENUTUP']","['Senjata Api dan Amunisi', 'Senjata Api Standar ABRI', 'Senjata Api Non Standar ABRI', 'Peralatan Keamanan', 'Senjata Api Dinas', 'Menteri', 'Direktorat Jenderal', 'Direktur Jenderal', 'Undang undang', 'Pejabat Bea dan Cukai', 'Kapal Patroli', 'KETENTUAN UMUM', 'PERENCANAAN PENGADAAN PEMILIKAN DAN PENGUASAAN', 'PENYIMPANAN PENGANGKUTAN DAN PENGADMINISTRASIAN', 'PENGGUNAAN', 'PEMELIHARAAN DAN PENGHAPUSAN', 'PENGAWASAN', 'KETENTUAN PENUTUP']"
UU 41 TAHUN 2009,Perlindungan Lahan Pertanian Pangan Berkelanjutan,2009,41,"['Lahan', 'Lahan Pertanian', 'Lahan Pertanian Pangan Berkelanjutan', 'Lahan Cadangan Pertanian Pangan Berkelanjutan', 'Perlindungan Lahan Pertanian Pangan Berkelanjutan', 'Kawasan Perdesaan', 'Kawasan Pertanian Pangan Berkelanjutan']","['KETENTUAN UMUM', 'PERENCANAAN DAN PENETAPAN', 'Umum', 'PENGEMBANGAN', 'PENELITIAN', 'PEMANFAATAN', 'PENGENDALIAN', 'Insentif dan Disinsentif', 'PERAN SERTA MASYARAKAT', 'SANKSI ADMINISTRATIF', 'KETENTUAN PERALIHAN']","['Lahan', 'Lahan Pertanian', 'Lahan Pertanian Pangan Berkelanjutan', 'Lahan Cadangan Pertanian Pangan Berkelanjutan', 'Perlindungan Lahan Pertanian Pangan Berkelanjutan', 'Kawasan Perdesaan', 'Kawasan Pertanian Pangan Berkelanjutan', 'KETENTUAN UMUM', 'PERENCANAAN DAN PENETAPAN', 'Umum', 'PENGEMBANGAN', 'PENELITIAN', 'PEMANFAATAN', 'PENGENDALIAN', 'Insentif dan Disinsentif', 'PERAN SERTA MASYARAKAT', 'SANKSI ADMINISTRATIF', 'KETENTUAN PERALIHAN']"
94/PMK.05/2015,Tarif Layanan Badan Layanan Umum Universitas Negeri Malang pada Kementerian Riset Teknologi dan Pendidikan Tinggi,2015,94,['Tarif Layanan Badan Layanan Umum Universitas Negeri Malang padaKementerian Riset Teknologi dan Pendidikan Tinggi'],[],['Tarif Layanan Badan Layanan Umum Universitas Negeri Malang padaKementerian Riset Teknologi dan Pendidikan Tinggi']
02/PMK.05/2011,Pedoman Akuntansi dan Pelaporan Aset Berupa Barang Milik Negara yang Berasal Dari Kontraktor Kontrak Kerja Sama,2011,2,"['Menteri', 'Kejaksaan Republik Indonesia', 'Komisi Pemberantasan Korupsi', 'Direktur Jenderal', 'Kantor Wilayah', 'Kantor Pelayanan', 'Barang Milik Negara', 'Barang Rampasan Negara', 'Barang Gratifikasi', 'Pengurusan Barang Rampasan Negara', 'Pemanfaatan', 'Penghapusan', 'Pemindahtanganan', 'Penatausahaan', 'Penilaian', 'Nilai Pasar selanjutnya sesuai ilmu akuntansi disebut sebagai nilai wajar', 'Nilai Limit']","['KETENTUAN UMUM', 'Pengertian', 'Maksud dan Tujuan', 'Ruang Lingkup', 'KEWENANGAN', 'Wewenang dan Tanggung Jawab Menteri', 'Wewenang dan Tanggung Jawab Kejaksaan', 'Wewenang dan Tanggung Jawab Komisi Pemberantasan Korupsi', 'PENGURUSAN BARANG RAMPASAN NEGARA', 'PENGURUSAN BARANG GRATIFIKASI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Menteri', 'Kejaksaan Republik Indonesia', 'Komisi Pemberantasan Korupsi', 'Direktur Jenderal', 'Kantor Wilayah', 'Kantor Pelayanan', 'Barang Milik Negara', 'Barang Rampasan Negara', 'Barang Gratifikasi', 'Pengurusan Barang Rampasan Negara', 'Pemanfaatan', 'Penghapusan', 'Pemindahtanganan', 'Penatausahaan', 'Penilaian', 'Nilai Pasar selanjutnya sesuai ilmu akuntansi disebut sebagai nilai wajar', 'Nilai Limit', 'KETENTUAN UMUM', 'Pengertian', 'Maksud dan Tujuan', 'Ruang Lingkup', 'KEWENANGAN', 'Wewenang dan Tanggung Jawab Menteri', 'Wewenang dan Tanggung Jawab Kejaksaan', 'Wewenang dan Tanggung Jawab Komisi Pemberantasan Korupsi', 'PENGURUSAN BARANG RAMPASAN NEGARA', 'PENGURUSAN BARANG GRATIFIKASI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
46/PMK.07/2012,Alokasi Sementara Dana Bagi Hasil Cukai Hasil Tembakau Tahun Anggaran 2012,2012,46,['Dana Bagi Hasil Cukai Hasil Tembakau Tahun Anggaran 2012'],[],['Dana Bagi Hasil Cukai Hasil Tembakau Tahun Anggaran 2012']
148/PMK.08/2017,Tata Cara Pelaksanaan Pemberian Jaminan Pemerintah untuk Percepatan Penyelenggaraan Kereta Api Ringan Light Rail Transit Terintegrasi di Wilayah Jakarta Bogor Depok dan Bekasi,2017,148,"['Anggaran Kewajiban Penjaminan Pemerintah', 'PT Kereta Api Indonesia Persero', 'Obligasi PT KAI', 'Pemegang Obligasi PT KAI', 'Menteri Keuangan', 'Agen Pemantau', 'Agen Pembayaran', 'Wali Amanat', 'Kewajiban Finansial', 'Pinjaman PT KAI kepada Kreditur', 'Kreditur', 'Pemerintah', 'Jaminan Pemerintah', 'Jaminan Pinjaman PT KAI', 'Jaminan Obligasi PT KAI', 'Badan Usaha Penjaminan Infrastruktur', 'Penerima Jaminan', 'Penjamin', 'Terjamin', 'Perjanjian Penerbitan dan Penunjukan Agen Pemantauan', 'Perjanjian Penyelesaian Pembayaran Tunai', 'Perjanjian Perwaliamanatan', 'Perjanjian Pinjaman', 'Batas Maksimal Penjaminan', 'Dokumen Rencana Mitigasi Risiko', 'Tanggal Penerbitan Obligasi', 'Surat Perintah Membayar', 'Anggaran Pendapatan dan Belanja Negara', 'Gagal Bayar', 'Rekening Dana Cadangan Penjaminan Pemerintah', 'Kuasa Pengguna Anggaran Bendahara Umum Negara']","['KETENTUAN UMUM', 'TUJUAN DAN PRINSIP', 'Tujuan', 'Prinsip', 'JAMINAN PINJAMAN', 'Ruang Lingkup dan Cakupan', 'Bentuk', 'Masa Berlaku', 'Tata Cara Pemberian dan Pelaksanaan Jaminan', 'JAMINAN OBLIGASI', 'PENYELESAIAN AKIBAT PELAKSANAAN JAMINAN', 'PENGANGGARAN DAN PELAKSANAAN ANGGARAN KEWAJIBAN PENJAMINAN PEMERINTAH', 'Penganggaran Kewajiban Penjaminan Pemerintah', 'Pelaksanaan Anggaran Kewajiban Penjaminan Pemerintah', 'PENGELOLAAN RISIKO', 'PEMBUKUAN', 'PEMANTAUAN DAN EVALUASI', 'KETENTUAN PENUTUP']","['Anggaran Kewajiban Penjaminan Pemerintah', 'PT Kereta Api Indonesia Persero', 'Obligasi PT KAI', 'Pemegang Obligasi PT KAI', 'Menteri Keuangan', 'Agen Pemantau', 'Agen Pembayaran', 'Wali Amanat', 'Kewajiban Finansial', 'Pinjaman PT KAI kepada Kreditur', 'Kreditur', 'Pemerintah', 'Jaminan Pemerintah', 'Jaminan Pinjaman PT KAI', 'Jaminan Obligasi PT KAI', 'Badan Usaha Penjaminan Infrastruktur', 'Penerima Jaminan', 'Penjamin', 'Terjamin', 'Perjanjian Penerbitan dan Penunjukan Agen Pemantauan', 'Perjanjian Penyelesaian Pembayaran Tunai', 'Perjanjian Perwaliamanatan', 'Perjanjian Pinjaman', 'Batas Maksimal Penjaminan', 'Dokumen Rencana Mitigasi Risiko', 'Tanggal Penerbitan Obligasi', 'Surat Perintah Membayar', 'Anggaran Pendapatan dan Belanja Negara', 'Gagal Bayar', 'Rekening Dana Cadangan Penjaminan Pemerintah', 'Kuasa Pengguna Anggaran Bendahara Umum Negara', 'KETENTUAN UMUM', 'TUJUAN DAN PRINSIP', 'Tujuan', 'Prinsip', 'JAMINAN PINJAMAN', 'Ruang Lingkup dan Cakupan', 'Bentuk', 'Masa Berlaku', 'Tata Cara Pemberian dan Pelaksanaan Jaminan', 'JAMINAN OBLIGASI', 'PENYELESAIAN AKIBAT PELAKSANAAN JAMINAN', 'PENGANGGARAN DAN PELAKSANAAN ANGGARAN KEWAJIBAN PENJAMINAN PEMERINTAH', 'Penganggaran Kewajiban Penjaminan Pemerintah', 'Pelaksanaan Anggaran Kewajiban Penjaminan Pemerintah', 'PENGELOLAAN RISIKO', 'PEMBUKUAN', 'PEMANTAUAN DAN EVALUASI', 'KETENTUAN PENUTUP']"
72/PMK.05/2016,Uang Makan Bagi Pegawai Aparatur Sipil Negara,2016,72,"['Pegawai Aparatur Sipil Negara', 'Pegawai Negeri Sipil', 'Pegawai Pemerintah dengan Perjanjian Kerja', 'Uang Makan', 'Satuan Kerja', 'Kuasa Pengguna Anggaran', 'Pejabat Pembuat Komitmen', 'Pejabat Penandatangan Surat Perintah Membayar', 'Bendahara Pengeluaran', 'Kantor Pelayanan Perbendaharaan Negara', 'Surat Permintaan Pembayaran Langsung', 'Surat Perintah Membayar', 'Surat Perintah Membayar Langsung', 'Surat Perintah Pencairan Dana']","['KETENTUAN UMUM', 'PEMBERIAN UANG MAKAN', 'PENGALOKASIAN ANGGARAN', 'PEMBAYARAN UANG MAKAN', 'PEMBAYARAN UANG MAKAN BAGI PNS YANG DIPERBANTUKAN ATAU DIPEKERJAKAN', 'PENGENDALIAN INTERNAL', 'KETENTUAN PENUTUP']","['Pegawai Aparatur Sipil Negara', 'Pegawai Negeri Sipil', 'Pegawai Pemerintah dengan Perjanjian Kerja', 'Uang Makan', 'Satuan Kerja', 'Kuasa Pengguna Anggaran', 'Pejabat Pembuat Komitmen', 'Pejabat Penandatangan Surat Perintah Membayar', 'Bendahara Pengeluaran', 'Kantor Pelayanan Perbendaharaan Negara', 'Surat Permintaan Pembayaran Langsung', 'Surat Perintah Membayar', 'Surat Perintah Membayar Langsung', 'Surat Perintah Pencairan Dana', 'KETENTUAN UMUM', 'PEMBERIAN UANG MAKAN', 'PENGALOKASIAN ANGGARAN', 'PEMBAYARAN UANG MAKAN', 'PEMBAYARAN UANG MAKAN BAGI PNS YANG DIPERBANTUKAN ATAU DIPEKERJAKAN', 'PENGENDALIAN INTERNAL', 'KETENTUAN PENUTUP']"
221/PMK.07/2019,Penggunaan Pemantauan dan Evaluasi Dana Bagi Hasil Sumber Daya Alam Kehutanan Dana Reboisasi,2019,221,"['Dana Bagi Hasil', 'Dana Bagi Hasil Sumber Daya Alam', 'Dana Bagi Hasil Sumber Daya Alam Kehutanan Dana Reboisasi', 'Dana Reboisasi', 'Provisi Sumber Daya Hutan selanjutnya disingkat PSDH', 'Iuran Izin Usaha Pemanfaatan Hutan selanjutnya disingkat IIUPH', 'Reboisasi', 'Rehabilitasi Hutan dan Lahan', 'Perubahan Iklim', 'Perhutanan Sosial', 'Sisa DBH DR Provinsi', 'Sisa DBH DR Kabupaten Kota', 'Anggaran Pendapatan dan Belanja Daerah', 'Kepala Daerah', 'Rancangan Kegiatan dan Penganggaran']","['KETENTUAN UMUM', 'PENGGUNAAN', 'Ruang Lingkup', 'Klasifikasi Penggunaan', 'Rancangan Kegiatan dan Penganggaran', 'PELAPORAN PEMANTAUAN DAN EVALUASI', 'Pelaporan', 'Pemantauan dan Evaluasi', 'Penundaan Penyaluran Kembali dan Penghentian Penyaluran', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Dana Bagi Hasil', 'Dana Bagi Hasil Sumber Daya Alam', 'Dana Bagi Hasil Sumber Daya Alam Kehutanan Dana Reboisasi', 'Dana Reboisasi', 'Provisi Sumber Daya Hutan selanjutnya disingkat PSDH', 'Iuran Izin Usaha Pemanfaatan Hutan selanjutnya disingkat IIUPH', 'Reboisasi', 'Rehabilitasi Hutan dan Lahan', 'Perubahan Iklim', 'Perhutanan Sosial', 'Sisa DBH DR Provinsi', 'Sisa DBH DR Kabupaten Kota', 'Anggaran Pendapatan dan Belanja Daerah', 'Kepala Daerah', 'Rancangan Kegiatan dan Penganggaran', 'KETENTUAN UMUM', 'PENGGUNAAN', 'Ruang Lingkup', 'Klasifikasi Penggunaan', 'Rancangan Kegiatan dan Penganggaran', 'PELAPORAN PEMANTAUAN DAN EVALUASI', 'Pelaporan', 'Pemantauan dan Evaluasi', 'Penundaan Penyaluran Kembali dan Penghentian Penyaluran', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
70/PMK.03/2015,Perubahan atas Peraturan Menteri Keuangan Nomor 79 PMK 02 2012 tentang Tata Cara Penyetoran dan Pelaporan Penerimaan Negara Dari Kegiatan Usaha Hulu Minyak Bumi dan atau Gas Bumi dan Penghitungan Pajak Penghasilan untuk Keperluan Pembayaran Pajak Penghasilan Minyak Bumi dan atau Gas Bumi Berupa Volume Minyak Bumi dan atau Gas Bumi,2015,70,"['Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyakdan Gas Bumi', 'Kontrak Kerja Sama', 'Lifting', 'Wilayah Kerja', 'Kontraktor', 'Operator', 'Partner', 'First Tranche Petroleum', 'OverliftingKontraktor', 'Underlifting Kontraktor', 'Harga Minyak Mentah Indonesia Indonesian Crude Price yang selanjutnyadisebutICP', 'pada Bank Indonesia', 'Rekening Kas Umum Negara', 'Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara', 'Bank Persepsi Mata Uang Asing', 'Nomor Transaksi Penerimaan Negara', 'Nomor Transaksi Bank', 'KasNegara', 'Bukti Penerimaan Negara']",[],"['Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyakdan Gas Bumi', 'Kontrak Kerja Sama', 'Lifting', 'Wilayah Kerja', 'Kontraktor', 'Operator', 'Partner', 'First Tranche Petroleum', 'OverliftingKontraktor', 'Underlifting Kontraktor', 'Harga Minyak Mentah Indonesia Indonesian Crude Price yang selanjutnyadisebutICP', 'pada Bank Indonesia', 'Rekening Kas Umum Negara', 'Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara', 'Bank Persepsi Mata Uang Asing', 'Nomor Transaksi Penerimaan Negara', 'Nomor Transaksi Bank', 'KasNegara', 'Bukti Penerimaan Negara']"
58/PMK.06/2020,Pembinaan dan Pengawasan Lembaga Pembiayaan Ekspor Indonesia,2020,58,"['Lembaga Pembiayaan Ekspor Indonesia', 'Rencana Jangka Panjang', 'Rencana Kerja Anggaran Tahunan', 'Pembinaan', 'Pengawasan', 'Menteri', 'Direktur Jenderal', 'Dewan Direktur', 'Pembiayaan Ekspor Nasional', 'Pembiayaan', 'Penjaminan', 'Asuransi', 'Prinsip Syariah', 'Dewan Pengawas Syariah', 'Tata Kelola', 'Manajemen Risiko', 'Pernyataan Selera Risiko _Risk Appetite Statement_', 'Retensi Sendiri', 'Pemeriksaan', 'Usaha Mikro Kecil Menengah Ekspor', 'Usaha Menengah Berorientasi Ekspor']","['KETENTUAN UMUM', 'Definisi', 'Ruang Lingkup', 'PEMBINAAN', 'Pengangkatan dan Pemberhentian Anggota Dewan Direktur', 'Pedoman Penyusunan RJP dan RKAT', 'Arah dan Pedoman', 'Pelaksanaan Pembiayaan Penjaminan Asuransi Ekspor atau Kegiatan Lain dalam rangka Mendukung Ekspor', 'Pengelolaan Sumber Pendanaan dan Penempatan Dana', 'Kegiatan Operasional', 'Penerapan Prinsip Kehati hatian', 'LAPORAN', 'PENGAWASAN', 'Pengukuran dan Penilaian Kinerja', 'SANKSI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Lembaga Pembiayaan Ekspor Indonesia', 'Rencana Jangka Panjang', 'Rencana Kerja Anggaran Tahunan', 'Pembinaan', 'Pengawasan', 'Menteri', 'Direktur Jenderal', 'Dewan Direktur', 'Pembiayaan Ekspor Nasional', 'Pembiayaan', 'Penjaminan', 'Asuransi', 'Prinsip Syariah', 'Dewan Pengawas Syariah', 'Tata Kelola', 'Manajemen Risiko', 'Pernyataan Selera Risiko _Risk Appetite Statement_', 'Retensi Sendiri', 'Pemeriksaan', 'Usaha Mikro Kecil Menengah Ekspor', 'Usaha Menengah Berorientasi Ekspor', 'KETENTUAN UMUM', 'Definisi', 'Ruang Lingkup', 'PEMBINAAN', 'Pengangkatan dan Pemberhentian Anggota Dewan Direktur', 'Pedoman Penyusunan RJP dan RKAT', 'Arah dan Pedoman', 'Pelaksanaan Pembiayaan Penjaminan Asuransi Ekspor atau Kegiatan Lain dalam rangka Mendukung Ekspor', 'Pengelolaan Sumber Pendanaan dan Penempatan Dana', 'Kegiatan Operasional', 'Penerapan Prinsip Kehati hatian', 'LAPORAN', 'PENGAWASAN', 'Pengukuran dan Penilaian Kinerja', 'SANKSI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
210/PMK.07/2011,Alokasi Definitif Dana Bagi Hasil Pajak Penghasilan Pasal 25 dan Pasal 29 Wajib Pajak Orang Pribadi dalam Negeri dan Pajak Penghasilan Pasal 21 Tahun Anggaran 2011,2011,210,"['Dana Pensiun Lembaga Keuangan', 'Bank', 'Perusahaan Asuransi Jiwa', 'Pendiri', 'Pelaksana Tugas Pengurus', 'Peraturan Dana Pensiun', 'Menteri']","['KETENTUAN UMUM', 'PENGESAHAN PENDIRIAN DANA PENSIUN LEMBAGA KEUANGAN', 'PENGESAHAN ATAS PERUBAHAN PERATURAN DANA PENSIUN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Dana Pensiun Lembaga Keuangan', 'Bank', 'Perusahaan Asuransi Jiwa', 'Pendiri', 'Pelaksana Tugas Pengurus', 'Peraturan Dana Pensiun', 'Menteri', 'KETENTUAN UMUM', 'PENGESAHAN PENDIRIAN DANA PENSIUN LEMBAGA KEUANGAN', 'PENGESAHAN ATAS PERUBAHAN PERATURAN DANA PENSIUN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
174/PMK.07/2014,Pedoman Umum dan Alokasi Dana Proyek Pemerintah Daerah dan Desentralisasi Tahun Anggaran 2014,2014,174,"['Anggaran Pendapatan dan Belanja Negara', 'Anggaran Pendapatan dan Belanja Daerah', 'Dana Proyek Pemerintah Daerah dan Desentralisasi yang selanjutnyadisingkatDP2D2', 'Dana Alokasi Khusus']",[],"['Anggaran Pendapatan dan Belanja Negara', 'Anggaran Pendapatan dan Belanja Daerah', 'Dana Proyek Pemerintah Daerah dan Desentralisasi yang selanjutnyadisingkatDP2D2', 'Dana Alokasi Khusus']"
12/PMK.09/2016,Penerapan Manajemen Risiko di Lingkungan Kementerian Keuangan,2016,12,"['Piutang Negara', 'PerjanjianPenerusanPinjamanLuarNegeriyang selanjutnyadisebutPerjanjianPPLN', 'PerjanjianPinjamanRekeningDanaInvestasi', 'Badan Usaha Milik Negara', 'PerseroanTerbatasyangselanjutnyadisebut Perseroan', 'Badan Hukum Lainnya', 'Menteri Keuangan', 'DirekturJenderal', 'DirektoratJenderal', 'KualitasPiutangNegara', 'Penjadwalan Kembali', 'Perubahan Persyaratan', 'PenyertaanModalNegarayangselanjutnyadisingkat PMN', 'Penghapusan', '_Cut off_ _Date_yangselanjutnyadisingkatCoD', 'RencanaKerjadanAnggaranPerusahaanyang selanjutnyadisingkatRKAP', 'RencanaPerbaikandanKinerjayangselanjutnya disingkat RPK', 'Uji Tuntas', 'PanitiaUrusanPiutangNegarayangselanjutnya disingkatPUPN', 'Badan Pengawasan Keuangan dan Pembangunan']","['KETENTUAN UMUM', 'Definisi', 'Tujuan', 'Kriteria', 'CARA OPTIMALISASI PENYELESAIAN PIUTANG NEGARA', 'TATA CARA PENYELESAIAN PIUTANG NEGARA', 'PERUBAHAN PERJANJIAN', 'PELAPORAN', 'EVALUASI DAN PEMANTAUAN', 'SANKSI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Piutang Negara', 'PerjanjianPenerusanPinjamanLuarNegeriyang selanjutnyadisebutPerjanjianPPLN', 'PerjanjianPinjamanRekeningDanaInvestasi', 'Badan Usaha Milik Negara', 'PerseroanTerbatasyangselanjutnyadisebut Perseroan', 'Badan Hukum Lainnya', 'Menteri Keuangan', 'DirekturJenderal', 'DirektoratJenderal', 'KualitasPiutangNegara', 'Penjadwalan Kembali', 'Perubahan Persyaratan', 'PenyertaanModalNegarayangselanjutnyadisingkat PMN', 'Penghapusan', '_Cut off_ _Date_yangselanjutnyadisingkatCoD', 'RencanaKerjadanAnggaranPerusahaanyang selanjutnyadisingkatRKAP', 'RencanaPerbaikandanKinerjayangselanjutnya disingkat RPK', 'Uji Tuntas', 'PanitiaUrusanPiutangNegarayangselanjutnya disingkatPUPN', 'Badan Pengawasan Keuangan dan Pembangunan', 'KETENTUAN UMUM', 'Definisi', 'Tujuan', 'Kriteria', 'CARA OPTIMALISASI PENYELESAIAN PIUTANG NEGARA', 'TATA CARA PENYELESAIAN PIUTANG NEGARA', 'PERUBAHAN PERJANJIAN', 'PELAPORAN', 'EVALUASI DAN PEMANTAUAN', 'SANKSI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
PERPRES 6 TAHUN 2008,Pengesahan Persetujuan Antara Pemerintah Republik Indonesia dan Pemerintah Federasi Rusia tentang Pembebasan Visa Kunjungan Singkat Bagi Pemegang Paspor Diplomatik dan Dinas Agreement Between The Government Of The Republic Of Indonesia And The Government Of The Russian Federation On Visa Exemption For Short Term Visits Of The Holders Diplomatic And Service Passports,2008,6,['Mengesahkan Persetujuan antara Pemerintah Republik Indonesiadan Pemerintah Federasi Rusia tentang Pembebasan VisaKunjungan Singkat Bagi Pemegang Paspor Diplomatik danDinas _Agreement between the Government of the Republic of_ _Indonesia and the Government of the Russian Federation on_ _Visa Exemption for Short Term Visits of the Holders Diplomatic_ _and Service Passports_ yang telah ditandatangani pada tanggal 1Desember 2006 di Moskow Rusia yang naskah aslinya dalamBahasaIndonesia BahasaRusia danBahasaInggris sebagaimana terlampirdan'],[],['Mengesahkan Persetujuan antara Pemerintah Republik Indonesiadan Pemerintah Federasi Rusia tentang Pembebasan VisaKunjungan Singkat Bagi Pemegang Paspor Diplomatik danDinas _Agreement between the Government of the Republic of_ _Indonesia and the Government of the Russian Federation on_ _Visa Exemption for Short Term Visits of the Holders Diplomatic_ _and Service Passports_ yang telah ditandatangani pada tanggal 1Desember 2006 di Moskow Rusia yang naskah aslinya dalamBahasaIndonesia BahasaRusia danBahasaInggris sebagaimana terlampirdan']
109/PMK.011/2011,Bea Masuk Ditanggung Pemerintah atas Impor Barang dan Bahan Guna Pembuatan dan atau Perbaikan Kapal untuk Tahun Anggaran 2011,2011,109,"['Perusahaan', 'Barang dan Bahan Untuk Industri Pembuatan dan atau Perbaikan Kapal']",[],"['Perusahaan', 'Barang dan Bahan Untuk Industri Pembuatan dan atau Perbaikan Kapal']"
UU 8 TAHUN 1998,Perhitungan Anggaran Negara Tahun Anggaran 1996 1997,1998,8,"['Pendapatan Negara Tahun Anggaran 1997 1997', 'sepuluh triliun seratus lila puluh tiga miliar dua ratus delapan puluh delapan juta lima puluh sembilan ribu enam puluh sembilan rupiah 3 Rincian pendapatan negara sebagaimana dimaksud pada ayat 1 dan ayat 2']",[],"['Pendapatan Negara Tahun Anggaran 1997 1997', 'sepuluh triliun seratus lila puluh tiga miliar dua ratus delapan puluh delapan juta lima puluh sembilan ribu enam puluh sembilan rupiah 3 Rincian pendapatan negara sebagaimana dimaksud pada ayat 1 dan ayat 2']"
110/PMK.01/2014,Pejabat Pengganti di Lingkungan Kementerian Keuangan,2014,110,"['PegawaiAparaturSipilNegaraKementerianKeuangan yang selanjutnyadisebutPegawai', 'Pejabat Pengganti', 'SuratPerintah', 'Kewenangan']","['KETENTUAN UMUM', 'RUANG LINGKUP', 'MEKANISME PENUNJUKAN PEJABAT PENGGANTI', 'LINGKUP WEWENANG DAN HAK PEJABAT PENGGANTI', 'KETENTUAN PENUTUP']","['PegawaiAparaturSipilNegaraKementerianKeuangan yang selanjutnyadisebutPegawai', 'Pejabat Pengganti', 'SuratPerintah', 'Kewenangan', 'KETENTUAN UMUM', 'RUANG LINGKUP', 'MEKANISME PENUNJUKAN PEJABAT PENGGANTI', 'LINGKUP WEWENANG DAN HAK PEJABAT PENGGANTI', 'KETENTUAN PENUTUP']"
PERPRES 108 TAHUN 2007,Tunjangan Tenaga Kependidikan,2007,108,"['Tenaga Kependidikan', 'Tunjangan Tenaga Kependidikan']",[],"['Tenaga Kependidikan', 'Tunjangan Tenaga Kependidikan']"
